ticker,company_name,sector,industry,price,market_cap_mm,ev_mm,pe_trailing,pe_forward,ev_ebitda,revenue_mm,op_margin,profit_margin,rev_growth,fcf_mm,net_debt_mm,beta_raw,wacc,cost_of_equity,beta_relevered,beta_unlevered,size_premium,equity_weight,peers_used,iv_bear,iv_base,iv_bull,upside_base_pct,upside_bear_pct,upside_bull_pct,margin_of_safety,growth_near,growth_mid,growth_source,ebit_margin_used,ebit_margin_source,capex_pct_used,capex_source,da_pct_used,da_source,tax_rate_used,tax_source,exit_multiple_used,tv_pct_of_ev,implied_growth_pct,tv_high_flag,analyst_target,analyst_recommendation,num_analysts
ATRO,Astronics Corporation,Industrials,Aerospace & Defense,75.3,2683.0,3056.0,,24.25121,27.261,862.0,19.1,3.4,15.1,30.0,360.0,1.044,10.01,10.72,1.04,0.94,1.0,88.0,ATRO (self),58.0,210.93,530.53,180.1,-23.0,604.6,64.3,21.9,14.3,3yr_cagr,19.1,ttm,1.2,3yr_avg,4.02,3yr_avg,21.0,us_default,14.0,66.0,6.8,False,86.576,buy,5
DAVE,Dave Inc.,Technology,Software - Application,208.68,2818.0,2913.0,20.620552,11.856817,15.182,554.0,39.4,35.3,62.4,26.0,-46.0,3.866,24.83,24.83,3.87,3.87,1.0,100.0,DAVE (self),134.78,503.99,1413.25,141.5,-35.4,577.2,58.6,30.0,19.5,3yr_cagr,39.4,ttm,3.35,3yr_avg,2.61,3yr_avg,21.0,us_default,20.0,71.0,14.7,False,318.0,strong_buy,8
VRRM,Verra Mobility Corporation,Technology,Information Technology Services,16.22,2588.0,3495.0,19.082352,10.417603,9.659,979.0,20.3,14.0,16.4,83.0,998.0,0.62,7.54,8.6,0.62,0.48,1.0,72.0,VRRM (self),10.94,39.14,81.77,141.3,-32.6,404.1,58.6,9.4,6.1,3yr_cagr,24.7,3yr_avg,9.09,3yr_avg,12.61,3yr_avg,32.2,3yr_avg,20.0,71.0,-0.7,False,25.57143,buy,7
PRDO,Perdoceo Education Corporation,Consumer Defensive,Education & Training Services,33.55,2158.0,1643.0,13.863636,10.259938,6.914,846.0,19.8,18.9,20.0,167.0,-504.0,0.918,10.09,10.09,0.92,0.92,1.0,100.0,PRDO (self),36.07,78.13,139.64,132.9,7.5,316.2,57.1,9.2,6.0,3yr_cagr,28.6,3yr_avg,4.0,sector_default,3.15,3yr_avg,25.4,3yr_avg,15.0,66.0,,False,42.0,buy,1
KRYS,"Krystal Biotech, Inc.",Healthcare,Biotechnology,253.27,7404.0,6792.0,37.02778,23.33174,41.687,389.0,41.3,52.6,17.5,94.0,-818.0,0.505,8.03,8.03,0.51,0.51,1.0,100.0,KRYS (self),145.15,553.3,1606.39,118.5,-42.7,534.3,54.2,30.0,19.5,3yr_cagr,41.3,ttm,9.27,3yr_avg,5.22,3yr_avg,10.9,3yr_avg,18.0,79.0,16.6,True,313.22223,strong_buy,9
IPAR,"Interparfums, Inc.",Consumer Defensive,Household & Personal Products,93.89,3011.0,3210.0,17.916986,16.82527,10.867,1489.0,7.1,11.3,6.8,0.0,-87.0,1.25,11.75,11.75,1.25,1.25,1.0,100.0,IPAR (self),64.84,203.46,451.78,116.7,-30.9,381.2,53.9,15.6,10.1,3yr_cagr,19.0,3yr_avg,4.64,3yr_avg,1.78,3yr_avg,23.7,3yr_avg,15.0,73.0,3.6,False,111.2,strong_buy,5
LAUR,"Laureate Education, Inc.",Consumer Defensive,Education & Training Services,31.27,4609.0,4926.0,16.547619,12.673026,9.743,1702.0,33.2,16.5,27.9,332.0,369.0,0.67,8.44,8.85,0.67,0.63,1.0,93.0,LAUR (self),23.99,67.54,138.39,116.0,-23.3,342.5,53.7,12.3,8.0,3yr_cagr,22.9,3yr_avg,4.21,3yr_avg,6.92,3yr_avg,28.7,3yr_avg,15.0,66.0,1.1,False,39.33333,buy,6
IDCC,"InterDigital, Inc.",Technology,Software - Application,356.81,9186.0,8592.0,30.28905,31.237032,15.933,834.0,30.5,48.8,-37.4,466.0,-751.0,1.588,13.44,13.44,1.59,1.59,1.0,100.0,IDCC (self),236.72,747.13,1857.42,109.4,-33.7,420.6,52.2,23.2,15.1,3yr_cagr,48.7,3yr_avg,7.78,3yr_avg,10.5,3yr_avg,13.3,3yr_avg,20.0,72.0,10.7,False,462.66666,none,3
ROAD,"Construction Partners, Inc.",Industrials,Engineering & Construction,120.64,6818.0,8836.0,54.590496,32.65088,19.232,3060.0,7.6,4.0,44.1,87.0,1734.0,0.84,8.59,9.7,0.84,0.7,1.0,80.0,ROAD (self),18.3,246.98,830.9,104.7,-84.8,588.7,51.2,30.0,19.5,3yr_cagr,6.3,3yr_avg,5.33,3yr_avg,5.14,3yr_avg,24.9,3yr_avg,14.0,80.0,20.6,True,137.85715,buy,7
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,78.74,7667.0,8960.0,14.828625,13.176522,10.618,8806.0,5.7,5.9,7.6,536.0,1686.0,0.7,8.23,9.0,0.7,0.6,1.0,82.0,SFM (self),40.54,158.06,355.24,100.7,-48.5,351.2,50.2,13.5,8.8,3yr_cagr,6.8,3yr_avg,3.03,3yr_avg,3.63,3yr_avg,24.5,3yr_avg,15.0,70.0,4.4,False,92.07143,buy,14
PCTY,Paylocity Holding Corporation,Technology,Software - Application,117.14,6370.0,6110.0,27.62618,14.050053,16.045,1680.0,5.4,14.2,28.2,375.0,-140.0,0.602,8.51,8.51,0.6,0.6,1.0,100.0,PCTY (self),71.17,224.18,511.54,91.4,-39.2,336.7,47.7,16.5,10.8,3yr_cagr,16.9,3yr_avg,5.35,3yr_avg,5.63,3yr_avg,21.0,3yr_avg,20.0,75.0,6.7,True,170.38095,none,21
EXLS,"ExlService Holdings, Inc.",Technology,Information Technology Services,32.22,5113.0,5168.0,20.92208,13.143564,14.382,2088.0,14.4,12.0,12.7,258.0,77.0,0.905,9.93,10.03,0.91,0.89,1.0,99.0,EXLS (self),20.95,59.39,124.45,84.3,-35.0,286.3,45.7,13.2,8.5,3yr_cagr,14.7,3yr_avg,2.76,3yr_avg,4.18,3yr_avg,22.3,3yr_avg,20.0,71.0,4.0,False,41.71429,buy,7
OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,29.28,4648.0,5801.0,23.055119,13.73977,14.196,5650.0,6.2,3.7,8.8,173.0,1035.0,0.883,8.72,9.92,0.88,0.75,1.0,82.0,OPCH (self),3.29,51.87,139.79,77.2,-88.8,377.4,43.6,14.6,9.5,3yr_cagr,6.6,3yr_avg,5.0,sector_default,1.32,3yr_avg,25.8,3yr_avg,18.0,98.0,8.1,True,40.09091,strong_buy,11
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,98.72,3540.0,3154.0,18.147058,12.37814,13.341,669.0,33.6,29.6,10.1,259.0,-394.0,0.604,8.52,8.52,0.6,0.6,1.0,100.0,QLYS (self),76.35,174.45,324.79,76.7,-22.7,229.0,43.4,9.8,6.4,3yr_cagr,31.1,3yr_avg,1.45,3yr_avg,3.36,3yr_avg,17.3,3yr_avg,20.0,69.0,0.6,False,138.52632,hold,19
DOX,Amdocs Limited,Technology,Software - Infrastructure,68.86,7433.0,8112.0,13.319149,8.476538,7.924,4579.0,18.9,12.5,4.1,598.0,704.0,0.454,7.45,7.77,0.45,0.42,1.0,91.0,DOX (self),54.6,116.91,186.41,69.8,-20.7,170.7,41.1,2.0,1.3,3yr_cagr,16.0,3yr_avg,2.32,3yr_avg,4.09,3yr_avg,16.3,3yr_avg,20.0,63.0,,False,93.816,none,5
PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,40.99,9737.0,12406.0,9.028635,9.897548,5.477,18498.0,8.3,5.9,3.3,631.0,2713.0,0.418,6.76,7.59,0.42,0.34,1.0,78.0,PPC (self),20.06,68.32,123.74,66.7,-51.1,201.9,40.0,3.2,2.1,3yr_cagr,7.0,3yr_avg,3.21,3yr_avg,2.44,3yr_avg,20.9,3yr_avg,15.0,70.0,-2.7,False,45.0,none,7
HURN,Huron Consulting Group Inc.,Industrials,Consulting Services,143.51,2474.0,2839.0,24.61578,14.028348,12.953,1663.0,14.5,6.3,11.3,147.0,527.0,0.133,5.92,6.17,0.13,0.11,1.0,82.0,HURN (self),66.98,237.69,500.12,65.6,-53.3,248.5,39.6,10.2,6.6,3yr_cagr,10.9,3yr_avg,2.16,3yr_avg,1.78,3yr_avg,24.0,3yr_avg,14.0,70.0,3.9,False,215.5,strong_buy,4
LNTH,"Lantheus Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,72.86,4954.0,5194.0,21.366568,11.602687,13.586,1542.0,19.1,15.2,4.0,266.0,264.0,-0.14,10.3,10.71,1.04,1.0,1.0,95.0,market (fallback),45.89,119.97,229.07,64.7,-37.0,214.4,39.3,9.0,5.9,3yr_cagr,25.9,3yr_avg,3.82,3yr_avg,4.46,3yr_avg,24.5,3yr_avg,18.0,67.0,1.8,False,91.0,strong_buy,13
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,25.52,7610.0,14612.0,13.157216,9.92237,7.967,10158.0,14.2,5.7,-3.4,630.0,7139.0,-0.064,9.16,14.21,1.74,1.0,1.0,52.0,market (fallback),3.7,40.85,86.03,60.0,-85.5,237.0,37.5,4.7,3.0,3yr_cagr,13.3,3yr_avg,4.49,3yr_avg,4.21,3yr_avg,24.5,3yr_avg,15.0,64.0,0.6,False,30.83333,hold,18
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,57.69,5932.0,6947.0,18.490385,17.549997,8.537,2011.0,31.8,9.3,3.2,193.0,3333.0,1.453,9.84,12.77,1.45,1.01,1.0,64.0,RRR (self),-17.95,90.79,237.72,57.4,-131.1,312.1,36.5,8.0,5.2,3yr_cagr,31.5,3yr_avg,24.02,3yr_avg,9.05,3yr_avg,11.4,3yr_avg,14.0,76.0,4.3,True,73.33333,buy,15
APPF,"AppFolio, Inc.",Technology,Software - Application,189.17,6808.0,6621.0,48.881165,23.771389,39.562,951.0,17.6,14.8,21.9,194.0,-213.0,0.801,9.5,9.5,0.8,0.8,1.0,100.0,APPF (self),89.66,295.01,752.97,55.9,-52.6,298.0,35.9,23.8,15.5,3yr_cagr,11.1,3yr_avg,1.28,3yr_avg,3.45,3yr_avg,12.5,3yr_avg,20.0,73.0,16.5,False,270.83334,none,6
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,493.91,5997.0,5608.0,32.09292,26.40524,24.099,1114.0,17.0,16.8,4.0,114.0,-499.0,0.828,9.64,9.64,0.83,0.83,1.0,100.0,POWL (self),231.59,768.79,2014.39,55.7,-53.1,307.8,35.8,25.7,16.7,3yr_cagr,15.4,3yr_avg,1.17,3yr_avg,0.86,3yr_avg,22.4,3yr_avg,14.0,74.0,18.1,False,517.6667,none,3
GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,21.95,4806.0,4713.0,12.614943,10.236822,7.994,2534.0,18.5,15.2,19.0,247.0,-139.0,0.76,9.3,9.3,0.76,0.76,1.0,100.0,GNTX (self),14.76,34.1,57.62,55.4,-32.8,162.5,35.6,5.0,3.2,3yr_cagr,20.3,3yr_avg,6.45,3yr_avg,4.09,3yr_avg,15.4,3yr_avg,14.0,62.0,-1.9,False,28.375,buy,8
ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,59.96,3997.0,5606.0,11.018382,9.195521,9.151,6012.0,7.3,6.3,3.0,32.0,1580.0,1.214,8.75,11.57,1.21,0.93,1.0,72.0,ASO (self),27.61,89.98,157.11,50.1,-54.0,162.0,33.4,2.0,1.3,3yr_cagr,11.1,3yr_avg,2.82,3yr_avg,1.82,3yr_avg,22.4,3yr_avg,14.0,63.0,-2.5,False,60.22222,buy,18
OSIS,"OSI Systems, Inc.",Technology,Electronic Components,265.84,4513.0,5224.0,30.140306,23.077894,19.678,1798.0,13.3,8.5,10.5,91.0,711.0,1.334,11.04,12.17,1.33,1.19,1.0,86.0,OSIS (self),98.53,391.76,927.02,47.4,-62.9,248.7,32.1,15.8,10.2,3yr_cagr,12.3,3yr_avg,2.5,3yr_avg,2.77,3yr_avg,20.2,3yr_avg,20.0,73.0,10.5,False,300.0,none,6
PLAB,"Photronics, Inc.",Technology,Semiconductor Equipment & Materials,33.96,2006.0,1833.0,14.51282,14.637931,6.375,862.0,24.4,15.8,6.1,36.0,-637.0,1.501,13.0,13.0,1.5,1.5,1.0,100.0,PLAB (self),24.28,47.91,72.96,41.1,-28.5,114.8,29.1,2.0,1.3,3yr_cagr,26.1,3yr_avg,17.34,3yr_avg,9.25,3yr_avg,22.0,3yr_avg,20.0,73.0,-4.7,False,48.0,strong_buy,1
MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,15.9,4943.0,6285.0,12.826612,10.398416,8.326,5348.0,7.9,7.4,7.3,394.0,1440.0,0.729,7.87,9.14,0.73,0.59,1.0,77.0,MAT (self),8.49,22.29,36.99,40.1,-46.6,132.6,28.6,2.0,1.3,3yr_cagr,11.2,3yr_avg,3.37,3yr_avg,4.29,3yr_avg,18.2,3yr_avg,14.0,56.0,-2.1,False,19.46154,buy,13
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,58.06,8130.0,8684.0,36.2875,-13.511753,26.666,1091.0,15.5,18.5,10461.3,171.0,-217.0,1.3,12.0,12.0,1.3,1.3,1.0,100.0,ARWR (self),19.1,81.27,240.78,40.0,-67.1,314.7,28.6,30.0,19.5,3yr_cagr,15.5,ttm,5.0,sector_default,4.0,sector_default,21.0,us_default,18.0,79.0,24.4,True,81.36364,buy,11
CARG,"CarGurus, Inc.",Consumer Cyclical,Auto & Truck Dealerships,33.76,3222.0,3256.0,17.22194,11.5771,12.547,907.0,28.7,17.2,5.5,219.0,0.0,1.414,12.57,12.57,1.41,1.41,1.0,100.0,CARG (self),14.69,45.06,96.1,33.5,-56.5,184.7,25.1,14.0,9.1,3yr_cagr,21.8,3yr_avg,6.97,3yr_avg,4.41,3yr_avg,26.4,3yr_avg,14.0,69.0,9.5,False,35.79167,buy,12
DXPE,"DXP Enterprises, Inc.",Industrials,Industrial Distribution,136.99,2148.0,2790.0,25.509312,18.894484,12.828,2016.0,9.0,4.4,12.0,9.0,621.0,0.984,9.27,10.42,0.98,0.8,1.0,78.0,DXPE (self),44.06,171.08,358.16,24.9,-67.8,161.5,19.9,9.6,6.2,3yr_cagr,8.4,3yr_avg,1.37,3yr_avg,1.86,3yr_avg,21.2,3yr_avg,14.0,64.0,6.9,False,139.5,strong_buy,2
WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,92.41,6629.0,7413.0,15.583475,13.030726,7.332,4918.0,16.0,8.8,-3.9,383.0,655.0,0.739,8.96,9.2,0.74,0.69,1.0,91.0,WFRD (self),54.03,113.03,172.88,22.3,-41.5,87.1,18.2,2.0,1.3,3yr_cagr,16.4,3yr_avg,4.7,3yr_avg,6.01,3yr_avg,18.1,3yr_avg,10.0,46.0,-1.0,False,107.63636,buy,11
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,Education & Training Services,163.21,4565.0,4226.0,21.141594,14.533669,12.313,1106.0,35.1,19.5,5.3,201.0,-193.0,0.726,9.13,9.13,0.73,0.73,1.0,100.0,LOPE (self),88.61,199.41,350.66,22.2,-45.7,114.8,18.2,7.3,4.7,3yr_cagr,26.7,3yr_avg,3.84,3yr_avg,3.49,3yr_avg,22.1,3yr_avg,15.0,64.0,4.1,False,213.0,none,2
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,42.34,4365.0,5029.0,19.604166,11.180199,13.491,1760.0,23.1,12.9,6.3,303.0,669.0,1.084,10.26,10.92,1.08,0.97,1.0,87.0,ACIW (self),21.55,51.55,90.49,21.7,-49.1,113.7,17.9,5.9,3.8,3yr_cagr,16.3,3yr_avg,2.74,3yr_avg,8.84,3yr_avg,22.6,3yr_avg,20.0,59.0,3.2,False,63.2,strong_buy,5
DORM,"Dorman Products, Inc.",Consumer Cyclical,Auto Parts,107.96,3300.0,3896.0,16.259037,11.674506,9.456,2130.0,8.2,9.6,0.8,12.0,512.0,0.922,9.32,10.11,0.92,0.82,1.0,87.0,DORM (self),49.0,126.37,222.42,17.1,-54.6,106.0,14.6,5.1,3.3,3yr_cagr,14.1,3yr_avg,2.01,3yr_avg,2.76,3yr_avg,25.0,3yr_avg,14.0,60.0,2.9,False,153.375,strong_buy,8
CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,86.0,5997.0,11318.0,16.25709,11.58243,11.83,2926.0,18.8,13.1,6.7,82.0,4996.0,0.66,6.88,8.8,0.66,0.4,1.0,55.0,CHDN (self),-37.5,100.6,301.54,17.0,-143.6,250.6,14.5,9.0,5.9,3yr_cagr,25.0,3yr_avg,21.07,3yr_avg,7.6,3yr_avg,26.2,3yr_avg,14.0,90.0,7.8,True,135.5,strong_buy,12
REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,Packaging & Containers,22.64,4761.0,6384.0,15.828672,13.463037,9.571,3721.0,17.9,8.1,1.4,291.0,1550.0,0.541,7.37,8.21,0.54,0.43,1.0,75.0,REYN (self),8.7,26.4,45.57,16.6,-61.6,101.3,14.3,2.0,1.3,3yr_cagr,14.3,3yr_avg,3.45,3yr_avg,3.47,3yr_avg,23.2,3yr_avg,14.0,61.0,0.2,False,26.28571,none,7
CART,Maplebear Inc.,Consumer Cyclical,Internet Retail,37.56,9861.0,8395.0,23.475063,8.0157795,15.809,3742.0,10.0,11.9,12.3,648.0,-651.0,0.987,10.44,10.44,0.99,0.99,1.0,100.0,CART (self),16.61,42.5,87.56,13.2,-55.8,133.1,11.6,15.1,9.8,3yr_cagr,10.0,ttm,1.54,3yr_avg,1.9,3yr_avg,17.2,3yr_avg,14.0,65.0,13.0,False,49.51852,buy,27
ARLP,"Alliance Resource Partners, L.P.",Energy,Thermal Coal,26.51,3411.0,3875.0,11.045833,9.722482,5.709,2195.0,17.9,14.2,-9.2,234.0,397.0,0.294,6.95,6.97,0.29,0.27,1.0,90.0,ARLP (self),6.37,29.27,52.1,10.4,-76.0,96.5,9.4,2.0,1.3,3yr_cagr,20.4,3yr_avg,15.53,3yr_avg,6.0,sector_default,5.6,3yr_avg,10.0,65.0,0.7,False,30.33333,none,3
RMBS,Rambus Inc.,Technology,Semiconductors,91.07,9817.0,9170.0,43.16114,25.921276,30.344,708.0,37.2,32.6,18.1,251.0,-737.0,1.589,13.44,13.44,1.59,1.59,1.0,100.0,RMBS (self),33.53,99.68,245.7,9.5,-63.2,169.8,8.6,23.9,15.5,3yr_cagr,29.6,3yr_avg,4.78,3yr_avg,8.04,3yr_avg,14.2,3yr_avg,20.0,71.0,22.3,False,118.875,strong_buy,8
ENPH,"Enphase Energy, Inc.",Technology,Solar,40.38,5294.0,5126.0,31.306202,14.925179,21.455,1473.0,6.3,11.7,-10.3,38.0,-269.0,1.374,12.37,12.37,1.37,1.37,1.0,100.0,ENPH (self),16.78,44.1,92.0,9.2,-58.4,127.8,8.4,15.0,9.8,sector_default,12.7,3yr_avg,3.37,3yr_avg,4.95,3yr_avg,15.0,3yr_avg,20.0,68.0,13.6,False,45.9931,hold,29
VC,Visteon Corporation,Consumer Cyclical,Auto Parts,89.97,2455.0,2173.0,12.358517,9.396413,4.938,3768.0,7.4,5.3,1.0,269.0,-340.0,1.172,11.36,11.36,1.17,1.17,1.0,100.0,VC (self),48.64,97.37,148.31,8.2,-45.9,64.8,7.6,2.0,1.3,3yr_cagr,6.8,3yr_avg,2.95,3yr_avg,2.66,3yr_avg,25.7,3yr_avg,14.0,62.0,0.6,False,117.18182,buy,11
SAIC,Science Applications International Corporation,Technology,Information Technology Services,94.39,4344.0,6816.0,12.070333,9.826119,10.407,7350.0,6.9,5.0,-5.6,237.0,2601.0,0.321,6.0,7.11,0.32,0.22,1.0,63.0,SAIC (self),-20.38,98.8,230.74,4.7,-121.6,144.5,4.5,2.0,1.3,3yr_cagr,7.0,3yr_avg,6.0,sector_default,1.94,3yr_avg,19.2,3yr_avg,20.0,95.0,1.6,True,116.22222,none,9
TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,28.45,4543.0,4399.0,10.270759,11.399197,35.657,616.0,26.2,72.6,78.0,-44.0,112.0,1.86,14.64,14.8,1.86,1.82,1.0,98.0,TGTX (self),6.08,28.93,86.45,1.7,-78.6,203.9,1.7,30.0,19.5,3yr_cagr,13.9,3yr_avg,5.0,sector_default,4.0,sector_default,8.6,3yr_avg,18.0,75.0,29.7,False,44.42857,buy,7
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,49.64,2476.0,2639.0,20.178862,16.505129,16.647,1011.0,13.6,13.1,8.0,66.0,105.0,0.809,9.35,9.54,0.81,0.78,1.0,96.0,ALRM (self),20.86,48.76,86.93,-1.8,-58.0,75.1,-1.8,7.1,4.6,3yr_cagr,10.8,3yr_avg,1.58,3yr_avg,4.64,3yr_avg,18.0,3yr_avg,20.0,62.0,7.3,False,58.0,buy,6
ADEA,Adeia Inc.,Technology,Software - Application,19.89,2179.0,2581.0,20.09596,13.292844,9.993,443.0,63.1,25.1,53.3,175.0,291.0,0.948,10.04,10.24,0.95,0.86,1.0,88.0,ADEA (self),8.23,19.27,31.52,-3.1,-58.6,58.4,-3.2,2.0,1.3,3yr_cagr,37.4,3yr_avg,3.5,3yr_avg,4.0,sector_default,18.1,3yr_avg,20.0,63.0,2.4,False,27.75,strong_buy,4
IESC,"IES Holdings, Inc.",Industrials,Engineering & Construction,428.73,8544.0,8301.0,25.4893,,18.193,3493.0,11.3,9.8,16.2,210.0,-193.0,1.68,13.9,13.9,1.68,1.68,1.0,100.0,IESC (self),129.96,398.96,921.39,-6.9,-69.7,114.9,-7.5,19.1,12.4,3yr_cagr,9.3,3yr_avg,1.43,3yr_avg,1.31,3yr_avg,24.2,3yr_avg,14.0,69.0,20.3,False,458.0,none,1
MGNI,"Magnite, Inc.",Communication Services,Advertising Agencies,13.94,2012.0,2117.0,14.673684,11.364099,15.371,714.0,25.4,20.3,5.9,120.0,73.0,2.397,17.0,17.48,2.4,2.33,1.0,96.0,MGNI (self),5.01,12.77,22.94,-8.4,-64.1,64.6,-9.2,7.6,4.9,3yr_cagr,25.4,ttm,6.92,3yr_avg,4.0,sector_default,14.0,3yr_avg,16.0,58.0,9.0,False,22.07143,strong_buy,14
